index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
85,CLALLAM,530092009.0,200953009,2009,53009,7.9,25.7,4.0,8.0,,8.1,7.4,8.3,12.0,19.9,0.1,11.9,0.7,35.1,44.5,19.9,6.0,2.1,2.7
86,CLARK,530112009.0,200953011,2009,53011,9.0,16.9,4.2,7.1,0.1,8.2,5.9,12.7,13.8,22.9,0.2,13.8,0.8,30.3,41.7,19.9,3.8,3.2,3.0
87,COLUMBIA,530132009.0,200953013,2009,53013,9.7,22.5,4.4,6.1,,11.1,7.1,12.7,13.5,23.4,,14.9,0.0,33.7,44.6,26.2,4.1,3.4,1.9
88,COWLITZ,530152009.0,200953015,2009,53015,9.5,23.0,5.2,8.5,0.1,12.3,6.1,13.5,15.3,24.2,0.3,16.3,0.7,32.8,46.0,22.1,5.3,4.4,3.1
89,DOUGLAS,530172009.0,200953017,2009,53017,9.8,23.9,3.2,8.9,,8.5,7.9,10.8,16.2,22.2,,11.9,0.5,35.5,43.2,20.2,5.4,2.3,3.4
90,FERRY,530192009.0,200953019,2009,53019,5.8,16.8,2.3,5.2,0.0,10.2,6.0,7.3,9.1,18.5,,12.8,,24.0,32.1,21.9,3.5,2.3,1.7
91,FRANKLIN,530212009.0,200953021,2009,53021,9.7,21.5,4.3,6.2,,9.5,6.2,12.1,11.4,29.0,,12.2,0.9,43.5,46.7,25.5,5.0,2.7,3.5
92,GARFIELD,530232009.0,200953023,2009,53023,15.9,25.0,2.6,7.1,0.0,8.7,10.4,16.1,14.6,27.8,0.0,18.1,,50.2,54.3,27.0,5.3,2.6,3.5
93,GRANT,530252009.0,200953025,2009,53025,8.9,25.8,3.1,7.5,,9.9,6.4,10.6,11.4,26.9,0.2,13.9,0.4,34.7,44.8,21.8,3.8,2.4,2.7
94,GRAYS HARBOR,530272009.0,200953027,2009,53027,7.8,21.7,4.3,8.2,,11.5,6.6,13.3,13.3,24.9,0.2,16.1,0.7,40.0,51.2,24.4,4.2,2.6,3.9
95,ISLAND,530292009.0,200953029,2009,53029,8.1,23.3,3.5,7.9,,7.4,8.6,9.5,10.6,20.0,0.1,12.3,0.6,38.7,45.5,20.9,5.0,1.7,2.9
96,JEFFERSON,530312009.0,200953031,2009,53031,6.2,18.5,3.0,9.3,,6.1,7.7,8.6,10.7,16.7,,11.4,0.6,35.9,44.5,17.6,4.5,1.2,3.1
97,KING,530332009.0,200953033,2009,53033,10.1,19.8,3.5,7.5,0.1,6.6,6.8,12.1,12.6,19.8,0.5,11.4,1.0,31.7,42.4,20.2,5.4,3.6,2.9
